Contrast audit — APCA is the guide, WCAG 2 the conformance report.

theme     foreground on background   role                  Lc   need    ratio   need
────────────────────────────────────────────────────────────────────────────────────────────────────────
light            ink on vellum       BodyText            98.2     90    16.83    4.5  
light            ink on vellum-deep  BodyText            91.7     90    15.24    4.5  
light           rule on well         NonText             50.5     45     3.20    3.0  
light       ink-soft on vellum       SecondaryText       81.0     60     7.31    4.5  
light       ink-soft on vellum-deep  SecondaryText       74.6     60     6.62    4.5  
light      ink-faint on vellum       NonText             65.3     45     4.20    3.0  
light       sanguine on vellum       LargeText           77.6     75     6.66    3.0  
light       sanguine on vellum-deep  NonText             71.1     45     6.03    3.0  
light           sage on vellum       SecondaryText       75.8     60     5.99    4.5  
light          sepia on vellum       SecondaryText       78.1     60     6.56    4.5  
light      verdigris on vellum       SecondaryText       75.3     60     5.94    4.5  
light         indigo on vellum       SecondaryText       83.4     60     8.08    4.5  
light         madder on vellum       SecondaryText       78.6     60     6.98    4.5  
light           rule on vellum       NonText             62.7     45     3.87    3.0  
light         vellum on sanguine-fill BodyText           -90.5     90     9.85    4.5  

dark             ink on vellum       BodyText           -92.0     90    15.04    4.5  
dark             ink on vellum-deep  BodyText           -92.5     90    16.02    4.5  
dark            rule on well         NonText            -47.4     45     6.21    3.0  
dark        ink-soft on vellum       SecondaryText      -64.7     60     9.56    4.5  
dark        ink-soft on vellum-deep  SecondaryText      -65.2     60    10.18    4.5  
dark       ink-faint on vellum       NonText            -49.2     45     6.92    3.0  
dark        sanguine on vellum       LargeText          -79.4     75    12.39    3.0  
dark        sanguine on vellum-deep  NonText            -80.0     45    13.19    3.0  
dark            sage on vellum       SecondaryText      -60.4     60     8.80    4.5  
dark           sepia on vellum       SecondaryText      -60.6     60     8.83    4.5  
dark       verdigris on vellum       SecondaryText      -62.6     60     9.17    4.5  
dark          indigo on vellum       SecondaryText      -68.1     60    10.20    4.5  
dark          madder on vellum       SecondaryText      -67.4     60    10.04    4.5  
dark            rule on vellum       NonText            -48.4     45     6.78    3.0  
dark          vellum on sanguine-fill BodyText            91.6     90    15.12    4.5  

contrast         ink on vellum       BodyText           106.0     90    20.29    4.5  
contrast         ink on vellum-deep  BodyText            99.0     90    18.34    4.5  
contrast        rule on well         NonText             75.3     45     6.88    3.0  
contrast    ink-soft on vellum       SecondaryText      101.4     60    14.58    4.5  
contrast    ink-soft on vellum-deep  SecondaryText       94.4     60    13.17    4.5  
contrast   ink-faint on vellum       NonText             93.2     45    10.00    3.0  
contrast    sanguine on vellum       LargeText           89.6     75     9.03    3.0  
contrast    sanguine on vellum-deep  NonText             82.6     45     8.16    3.0  
contrast        sage on vellum       SecondaryText       92.4     60     9.73    4.5  
contrast       sepia on vellum       SecondaryText       93.4     60    10.21    4.5  
contrast   verdigris on vellum       SecondaryText       91.9     60     9.65    4.5  
contrast      indigo on vellum       SecondaryText       98.0     60    12.43    4.5  
contrast      madder on vellum       SecondaryText       92.4     60    10.67    4.5  
contrast        rule on vellum       NonText             89.1     45     8.45    3.0  
contrast      vellum on sanguine-fill BodyText          -100.6     90    12.32    4.5  

All 45 pairings pass.
